camera_id,timestamp,car_count,truck_count,bus_count,motorcycle_count,road_area_pixels,vectors_chao_score,congestion_score
587ee2aeb807da0011e33d52,2025-11-26 16:17:47,4,0,0,15,40307,"0,3539232558","0,2177559055"
587ee2aeb807da0011e33d52,2025-11-26 16:18:08,5,0,0,8,41833,"0,3238673494","0,1877165354"
587ee2aeb807da0011e33d52,2025-11-26 16:19:52,1,0,0,10,44569,"0,255370306","0,1338582677"
587ee2aeb807da0011e33d52,2025-11-26 16:20:14,5,0,0,15,22413,"0,5704225357","0,57"
587ee2aeb807da0011e33d52,2025-11-26 16:20:36,7,0,0,8,28926,"0,4272583308","0,4417913386"
587ee2aeb807da0011e33d52,2025-11-26 16:20:57,3,0,0,11,41012,"0,2526649013","0,2038779528"
587ee2aeb807da0011e33d52,2025-11-26 16:21:20,2,0,0,8,47813,"0,5722581938","0,07"
587ee2aeb807da0011e33d52,2025-11-27 07:25:59,2,0,0,13,42226,"0,425156818","0,3596529404"
587ee2aeb807da0011e33d52,2025-11-27 07:26:17,6,0,0,24,45373,"0,4393674922","0,3033094615"
587ee2aeb807da0011e33d52,2025-11-27 07:26:35,8,0,0,26,40477,"0,4239957811","0,390966809"
587ee2aeb807da0011e33d52,2025-11-27 07:26:54,2,0,0,9,45560,"0,2217409208","0,2999614378"
587ee2aeb807da0011e33d52,2025-11-27 07:27:12,5,0,0,8,39957,"0,4620534631","0,4002768214"
587ee2aeb807da0011e33d52,2025-11-27 07:27:30,4,0,1,19,31464,"0,5089898782","0,5523343892"
587ee2aeb807da0011e33d52,2025-11-27 07:27:49,4,0,0,13,41195,"0,3039209234","0,3781118303"
587ee2aeb807da0011e33d52,2025-11-27 07:28:08,3,0,0,15,45669,"0,3101292676","0,298009916"
587ee2aeb807da0011e33d52,2025-11-27 07:28:25,4,0,0,10,44554,"0,4311901042","0,317972731"
587ee2aeb807da0011e33d52,2025-11-27 07:28:43,4,0,0,19,37837,"0,3614887982","0,4382330258"
587ee2aeb807da0011e33d52,2025-11-27 07:29:08,5,0,0,19,38304,"0,468847901","0,4298719185"
587ee2aeb807da0011e33d52,2025-11-27 07:29:28,3,0,0,17,42316,"0,4430543548","0,3580415921"
587ee2aeb807da0011e33d52,2025-11-27 07:29:45,1,0,0,8,43424,"0,4141205717","0,3382041041"
587ee2aeb807da0011e33d52,2025-11-27 07:30:03,3,0,0,28,47045,"0,4845949759","0,2733741909"
587ee2aeb807da0011e33d52,2025-11-27 07:30:21,7,0,0,20,31018,"0,5020047568","0,5603195152"
587ee2aeb807da0011e33d52,2025-11-27 07:30:38,3,0,0,18,36996,"0,5854820049","0,4532901804"
587ee2aeb807da0011e33d52,2025-11-27 07:30:56,1,0,0,5,46800,"0,2616055642","0,277760639"
587ee2aeb807da0011e33d52,2025-11-27 07:31:14,5,0,1,14,26787,"0,5357941517","0,6360707891"
587ee2aeb807da0011e33d52,2025-11-27 07:31:31,3,0,0,15,36120,"0,4769210672","0,4689739705"
587ee2aeb807da0011e33d52,2025-11-27 07:31:49,2,0,0,8,43816,"0,385170946","0,3311857871"
587ee2aeb807da0011e33d52,2025-11-27 07:32:06,1,0,0,10,44761,"0,2776596848","0,3142666299"
587ee2aeb807da0011e33d52,2025-11-27 07:32:24,5,0,0,16,44494,"0,4777259464","0,3190469632"
587ee2aeb807da0011e33d52,2025-11-27 07:32:41,4,0,0,12,40592,"0,5965840877","0,3889078639"
587ee2aeb807da0011e33d52,2025-11-27 07:32:59,4,0,0,15,43940,"0,519791455","0,3289657072"
587ee2aeb807da0011e33d52,2025-11-27 07:33:17,2,0,0,10,42431,"0,4493565968","0,355982647"
587ee2aeb807da0011e33d52,2025-11-27 07:33:35,2,0,0,11,45367,"0,3217080524","0,3034168847"
587ee2aeb807da0011e33d52,2025-11-27 07:33:53,6,0,0,17,31901,"0,5456924324","0,544510398"
587ee2aeb807da0011e33d52,2025-11-27 07:34:12,1,1,1,15,44547,"0,4322582147","0,3180980581"
587ee2aeb807da0011e33d52,2025-11-27 07:34:30,3,0,0,13,41385,"0,2736564001","0,374710095"
587ee2aeb807da0011e33d52,2025-11-27 07:34:48,2,0,0,15,41732,"0,3206406088","0,3684974521"
587ee2aeb807da0011e33d52,2025-11-27 07:35:06,4,0,1,16,18748,"0,5164034408","0,78"
587ee2aeb807da0011e33d52,2025-11-27 07:35:24,7,0,0,15,26935,"0,2294850103","0,6334210164"
587ee2aeb807da0011e33d52,2025-11-27 07:35:42,3,0,0,7,42669,"0,3773310543","0,351721526"
587ee2aeb807da0011e33d52,2025-11-27 07:36:01,0,0,0,3,46646,"0,2723492065","0,280517835"
